date,duoarea,value_mmbbl,seasonal_lo,seasonal_hi,pct_of_range
2026-03-20,R30,265.907,225.541,294.428,58.6
2026-03-20,R40,25.235,22.155,26.303,74.3
2026-03-20,R50,43.908,45.744,51.096,-34.3
2026-03-27,NUS,461.636,409.95,501.835,56.3
2026-03-27,R10,8.054,6.853,8.756,63.1
2026-03-27,R20,113.989,102.399,129.442,42.9
2026-03-27,R30,268.607,225.541,294.428,62.5
2026-03-27,R40,25.508,23.173,26.23,76.4
2026-03-27,R50,45.477,45.744,49.988,-6.3
2026-04-03,NUS,464.717,412.371,498.313,60.9
2026-04-03,R10,8.265,7.045,8.324,95.4
2026-04-03,R20,114.611,105.444,130.466,36.6
2026-04-03,R30,271.274,227.705,290.268,69.6
2026-04-03,R40,25.371,23.263,26.024,76.3
2026-04-03,R50,45.196,46.171,50.217,-24.1
2026-04-10,NUS,463.804,413.733,493.017,63.2
2026-04-10,R10,7.712,7.264,8.558,34.6
2026-04-10,R20,112.387,105.845,130.466,26.6
2026-04-10,R30,271.014,229.068,285.061,74.9
2026-04-10,R40,25.816,23.831,25.812,100.2
2026-04-10,R50,46.875,46.037,50.217,20.0
2026-04-17,NUS,465.729,413.733,493.107,65.5
2026-04-17,R10,7.855,7.264,9.471,26.8
2026-04-17,R20,113.834,105.845,132.393,30.1
2026-04-17,R30,272.136,228.329,285.061,77.2
2026-04-17,R40,26.252,23.718,25.515,141.0
2026-04-17,R50,45.651,45.455,50.312,4.0
2026-04-24,NUS,459.495,414.424,493.107,57.3
2026-04-24,R10,7.609,7.476,9.471,6.7
2026-04-24,R20,114.403,105.511,134.269,30.9
2026-04-24,R30,266.087,228.329,279.994,73.1
2026-04-24,R40,26.1,23.083,25.48,125.9
2026-04-24,R50,45.297,45.452,51.73,-2.5
2026-05-01,NUS,457.182,415.727,485.117,59.7
2026-05-01,R10,8.462,6.71,9.289,67.9
2026-05-01,R20,112.064,105.511,134.269,22.8
2026-05-01,R30,264.101,231.835,271.464,81.4
2026-05-01,R40,25.852,23.083,26.807,74.4
2026-05-01,R50,46.703,44.316,53.28,26.6
2026-05-08,NUS,452.876,420.82,486.011,49.2
2026-05-08,R10,7.692,6.71,9.289,38.1
2026-05-08,R20,111.215,106.061,134.497,18.1
2026-05-08,R30,263.16,233.928,272.349,76.1
2026-05-08,R40,25.557,23.616,27.397,51.3
2026-05-08,R50,45.252,43.801,53.28,15.3
2026-05-15,NUS,445.013,419.801,486.011,38.1
2026-05-15,R10,7.683,7.943,9.338,-18.6
2026-05-15,R20,108.509,104.726,134.497,12.7
2026-05-15,R30,259.165,234.077,272.349,65.6
2026-05-15,R40,25.849,23.924,27.397,55.4
2026-05-15,R50,43.807,43.67,52.589,1.5
2026-05-22,NUS,441.686,414.733,484.349,38.7
2026-05-22,R10,8.6,7.943,9.35,46.7
2026-05-22,R20,103.794,104.726,133.395,-3.3
2026-05-22,R30,259.157,227.393,270.447,73.8
2026-05-22,R40,25.428,24.381,26.775,43.7
2026-05-22,R50,44.708,43.67,52.703,11.5
2026-05-29,NUS,433.712,414.733,479.27,29.4
2026-05-29,R10,8.137,7.415,9.35,37.3
2026-05-29,R20,102.952,103.774,133.395,-2.8
2026-05-29,R30,252.5,227.393,264.809,67.1
2026-05-29,R40,24.397,23.928,26.668,17.1
2026-05-29,R50,45.726,43.771,52.703,21.9
2026-06-05,NUS,426.485,416.758,474.029,17.0
2026-06-05,R10,7.816,7.326,9.468,22.9
2026-06-05,R20,102.314,102.386,133.272,-0.2
2026-06-05,R30,248.644,235.44,266.673,42.3
2026-06-05,R40,23.858,23.877,26.101,-0.9
2026-06-05,R50,43.853,45.146,52.307,-18.1
2026-06-12,NUS,418.222,418.328,539.28,-0.1
2026-06-12,R10,7.892,7.326,12.36,11.2
2026-06-12,R20,97.804,102.239,137.978,-12.4
2026-06-12,R30,243.814,236.963,307.489,9.7
2026-06-12,R40,23.512,23.877,26.074,-16.6
2026-06-12,R50,45.2,45.054,55.845,1.4
