date,duoarea,value_mmbbl
2020-01-31,R40,4.301
2020-01-31,R50,13.238
2020-02-07,NUS,141.222
2020-02-07,R10,42.89
2020-02-07,R20,32.947
2020-02-07,R30,47.752
2020-02-07,R40,4.246
2020-02-07,R50,13.387
2020-02-14,NUS,140.587
2020-02-14,R10,42.125
2020-02-14,R20,33.148
2020-02-14,R30,47.412
2020-02-14,R40,3.879
2020-02-14,R50,14.023
2020-02-21,NUS,138.472
2020-02-21,R10,39.448
2020-02-21,R20,32.809
2020-02-21,R30,48.344
2020-02-21,R40,4.088
2020-02-21,R50,13.784
2020-02-28,NUS,134.464
2020-02-28,R10,39.367
2020-02-28,R20,32.755
2020-02-28,R30,44.574
2020-02-28,R40,4.237
2020-02-28,R50,13.531
2020-03-06,NUS,128.06
2020-03-06,R10,36.613
2020-03-06,R20,32.383
2020-03-06,R30,42.213
2020-03-06,R40,4.379
2020-03-06,R50,12.472
2020-03-13,NUS,125.12
2020-03-13,R10,36.531
2020-03-13,R20,31.197
2020-03-13,R30,41.011
2020-03-13,R40,4.466
2020-03-13,R50,11.916
2020-03-20,NUS,124.442
2020-03-20,R10,34.972
2020-03-20,R20,30.925
2020-03-20,R30,42.381
2020-03-20,R40,3.887
2020-03-20,R50,12.277
2020-03-27,NUS,122.248
2020-03-27,R10,32.967
2020-03-27,R20,30.218
2020-03-27,R30,42.732
2020-03-27,R40,4.026
2020-03-27,R50,12.305
2020-04-03,NUS,122.724
2020-04-03,R10,35.546
2020-04-03,R20,29.809
2020-04-03,R30,41.063
2020-04-03,R40,4.095
2020-04-03,R50,12.211
2020-04-10,NUS,129.004
2020-04-10,R10,37.703
2020-04-10,R20,29.925
2020-04-10,R30,43.997
2020-04-10,R40,3.86
2020-04-10,R50,13.52
2020-04-17,NUS,136.88
2020-04-17,R10,41.384
2020-04-17,R20,30.214
2020-04-17,R30,46.249
2020-04-17,R40,4.027
2020-04-17,R50,15.006
2020-04-24,NUS,141.972
2020-04-24,R10,44.403
2020-04-24,R20,30.781
2020-04-24,R30,48.27
2020-04-24,R40,3.833
2020-04-24,R50,14.684
2020-05-01,NUS,151.49
