date,duoarea,value_mmbbl,seasonal_lo,seasonal_hi,pct_of_range
2026-02-13,R20,29.333,28.146,34.009,20.2
2026-02-13,R30,48.848,36.944,56.302,61.5
2026-02-13,R40,4.442,3.842,4.542,85.7
2026-02-13,R50,11.504,11.559,13.673,-2.6
2026-02-20,NUS,120.351,116.564,152.715,10.5
2026-02-20,R10,25.617,28.505,50.355,-13.2
2026-02-20,R20,28.797,26.386,34.723,28.9
2026-02-20,R30,48.673,36.944,55.926,61.8
2026-02-20,R40,4.837,3.824,4.542,141.1
2026-02-20,R50,12.428,11.559,13.651,41.5
2026-02-27,NUS,120.78,113.874,142.996,23.7
2026-02-27,R10,27.538,28.765,50.355,-5.7
2026-02-27,R20,28.936,25.849,34.723,34.8
2026-02-27,R30,48.02,36.297,49.009,92.2
2026-02-27,R40,4.559,3.824,4.592,95.7
2026-02-27,R50,11.727,11.401,13.422,16.1
2026-03-06,NUS,119.431,113.874,137.747,23.3
2026-03-06,R10,27.324,27.536,47.168,-1.1
2026-03-06,R20,29.037,25.783,34.399,37.8
2026-03-06,R30,46.412,36.297,48.801,80.9
2026-03-06,R40,4.623,3.907,4.724,87.6
2026-03-06,R50,12.035,11.401,12.751,47.0
2026-03-13,NUS,116.904,112.135,141.553,16.2
2026-03-13,R10,27.564,27.536,46.842,0.1
2026-03-13,R20,29.576,25.783,33.994,46.2
2026-03-13,R30,44.09,36.967,49.911,55.0
2026-03-13,R40,4.176,3.726,4.724,45.1
2026-03-13,R50,11.498,12.045,13.47,-38.4
2026-03-20,NUS,119.936,112.135,144.095,24.4
2026-03-20,R10,27.448,28.259,46.842,-4.4
2026-03-20,R20,30.591,27.387,33.132,55.8
2026-03-20,R30,45.682,37.078,50.821,62.6
2026-03-20,R40,4.471,3.582,4.59,88.2
2026-03-20,R50,11.744,11.716,14.066,1.2
2026-03-27,NUS,117.825,113.051,145.547,14.7
2026-03-27,R10,28.052,25.884,46.984,10.3
2026-03-27,R20,29.539,28.803,32.863,18.1
2026-03-27,R30,45.023,37.619,51.992,51.5
2026-03-27,R40,4.278,3.582,4.476,77.9
2026-03-27,R50,10.932,11.353,14.066,-15.5
2026-04-03,NUS,114.681,111.082,145.547,10.4
2026-04-03,R10,28.3,25.884,46.984,11.5
2026-04-03,R20,28.897,28.305,32.09,15.6
2026-04-03,R30,42.031,38.296,51.992,27.3
2026-04-03,R40,4.168,3.616,4.766,48.0
2026-04-03,R50,11.285,11.353,13.916,-2.7
2026-04-10,NUS,111.559,108.735,143.464,8.1
2026-04-10,R10,26.861,24.726,46.737,9.7
2026-04-10,R20,28.54,27.616,32.313,19.7
2026-04-10,R30,40.661,38.716,51.345,15.4
2026-04-10,R40,4.184,3.616,4.766,49.4
2026-04-10,R50,11.312,11.324,14.068,-0.4
