date,duoarea,value_mmbbl
2021-01-29,R10,11.125
2021-01-29,R20,135.522
2021-01-29,R30,255.583
2021-01-29,R40,24.276
2021-01-29,R50,49.153
2021-02-05,NUS,469.014
2021-02-05,R10,10.037
2021-02-05,R20,134.589
2021-02-05,R30,251.042
2021-02-05,R40,24.697
2021-02-05,R50,48.65
2021-02-12,NUS,461.757
2021-02-12,R10,10.153
2021-02-12,R20,129.497
2021-02-12,R30,249.388
2021-02-12,R40,23.829
2021-02-12,R50,48.89
2021-02-19,NUS,463.042
2021-02-19,R10,8.42
2021-02-19,R20,133.989
2021-02-19,R30,246.878
2021-02-19,R40,23.04
2021-02-19,R50,50.715
2021-02-26,NUS,484.605
2021-02-26,R10,8.851
2021-02-26,R20,135.062
2021-02-26,R30,267.733
2021-02-26,R40,22.93
2021-02-26,R50,50.029
2021-03-05,NUS,498.403
2021-03-05,R10,8.373
2021-03-05,R20,133.774
2021-03-05,R30,282.92
2021-03-05,R40,22.513
2021-03-05,R50,50.824
2021-03-12,NUS,500.799
2021-03-12,R10,8.18
2021-03-12,R20,132.155
2021-03-12,R30,288.181
2021-03-12,R40,22.966
2021-03-12,R50,49.317
2021-03-19,NUS,502.711
2021-03-19,R10,8.717
2021-03-19,R20,130.86
2021-03-19,R30,293.566
2021-03-19,R40,22.155
2021-03-19,R50,47.412
2021-03-26,NUS,501.835
2021-03-26,R10,8.65
2021-03-26,R20,129.442
2021-03-26,R30,294.428
2021-03-26,R40,23.173
2021-03-26,R50,46.141
2021-04-02,NUS,498.313
2021-04-02,R10,8.324
2021-04-02,R20,128.222
2021-04-02,R30,290.268
2021-04-02,R40,23.263
2021-04-02,R50,48.235
2021-04-09,NUS,492.423
2021-04-09,R10,8.142
2021-04-09,R20,130.466
2021-04-09,R30,283.813
2021-04-09,R40,23.831
2021-04-09,R50,46.171
2021-04-16,NUS,493.017
2021-04-16,R10,7.864
2021-04-16,R20,129.722
2021-04-16,R30,285.061
2021-04-16,R40,24.087
2021-04-16,R50,46.284
2021-04-23,NUS,493.107
2021-04-23,R10,9.471
2021-04-23,R20,132.393
2021-04-23,R30,279.994
2021-04-23,R40,24.827
2021-04-23,R50,46.423
2021-04-30,NUS,485.117
2021-04-30,R10,8.389
2021-04-30,R20,134.269
2021-04-30,R30,269.584
2021-04-30,R40,24.913
2021-04-30,R50,47.962
2021-05-07,NUS,484.691
2021-05-07,R10,6.71
2021-05-07,R20,133.322
2021-05-07,R30,271.464
2021-05-07,R40,24.954
2021-05-07,R50,48.241
2021-05-14,NUS,486.011
2021-05-14,R10,7.967
2021-05-14,R20,134.497
2021-05-14,R30,272.349
2021-05-14,R40,25.409
2021-05-14,R50,45.789
2021-05-21,NUS,484.349
2021-05-21,R10,7.943
2021-05-21,R20,132.803
2021-05-21,R30,270.447
2021-05-21,R40,25.262
2021-05-21,R50,47.895
2021-05-28,NUS,479.27
2021-05-28,R10,8.503
2021-05-28,R20,133.395
2021-05-28,R30,264.809
2021-05-28,R40,24.786
